commodity,year,sum(value)
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2010,6673.09000000001
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2011,7959.96
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2012,7407.41
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2013,8342.78
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2014,9191.54000000001
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2015,9324.02
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2016,9163.96
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2017,8723.89
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",2018,8335.41
ARTICLES OF IRON OR STEEL,2010,6584.88
ARTICLES OF IRON OR STEEL,2011,7047.77
ARTICLES OF IRON OR STEEL,2012,7435.8
ARTICLES OF IRON OR STEEL,2013,6806.95
ARTICLES OF IRON OR STEEL,2014,7591.47
ARTICLES OF IRON OR STEEL,2015,6163.08000000001
ARTICLES OF IRON OR STEEL,2016,5915.55
ARTICLES OF IRON OR STEEL,2017,6794.62
ARTICLES OF IRON OR STEEL,2018,7289.53
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2010,1578.31
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2011,2029.58
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2012,2092.36
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2013,2354.28
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2014,2535.56
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2015,2386.71
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2016,2344.2
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2017,2425.44
"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",2018,2558.51
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2010,1000.98
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2011,1059.7
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2012,1168.62
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2013,1322.6
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2014,1395.7
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2015,1334.06
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2016,1349.67
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2017,1374.03
"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",2018,1580.01
"BEVERAGES, SPIRITS AND VINEGAR.",2010,186.81
"BEVERAGES, SPIRITS AND VINEGAR.",2011,309.13
"BEVERAGES, SPIRITS AND VINEGAR.",2012,361.92
"BEVERAGES, SPIRITS AND VINEGAR.",2013,408.94
"BEVERAGES, SPIRITS AND VINEGAR.",2014,377.77
"BEVERAGES, SPIRITS AND VINEGAR.",2015,320.43
"BEVERAGES, SPIRITS AND VINEGAR.",2016,311.95
"BEVERAGES, SPIRITS AND VINEGAR.",2017,346.46
"BEVERAGES, SPIRITS AND VINEGAR.",2018,325.74
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2010,1398.25
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2011,1235.54
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2012,1424.02
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2013,1578.96
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2014,1819.37
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2015,1726.53
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2016,1773.73
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2017,1711.04
CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,2018,1765.75
CERAMIC PRODUCTS.,2010,325.48
CERAMIC PRODUCTS.,2011,389.8
CERAMIC PRODUCTS.,2012,444.75
CERAMIC PRODUCTS.,2013,550.98
CERAMIC PRODUCTS.,2014,841.88
CERAMIC PRODUCTS.,2015,913.99
CERAMIC PRODUCTS.,2016,1101.03
CERAMIC PRODUCTS.,2017,1310.92
CERAMIC PRODUCTS.,2018,1590.13
CEREALS.,2010,3348.46
CEREALS.,2011,6270.31
CEREALS.,2012,9655.4
CEREALS.,2013,10562.81
CEREALS.,2014,9550.89
CEREALS.,2015,6271.96
CEREALS.,2016,6012.93
CEREALS.,2017,8151.47
CEREALS.,2018,8160.08
CLOCKS AND WATCHES AND PARTS THEREOF.,2010,51.27
CLOCKS AND WATCHES AND PARTS THEREOF.,2011,74.34
CLOCKS AND WATCHES AND PARTS THEREOF.,2012,79.94
CLOCKS AND WATCHES AND PARTS THEREOF.,2013,85.44
CLOCKS AND WATCHES AND PARTS THEREOF.,2014,92.39
CLOCKS AND WATCHES AND PARTS THEREOF.,2015,97.53
CLOCKS AND WATCHES AND PARTS THEREOF.,2016,88.86
CLOCKS AND WATCHES AND PARTS THEREOF.,2017,80.29
CLOCKS AND WATCHES AND PARTS THEREOF.,2018,100.49
COCOA AND COCOA PREPARATIONS.,2010,27.86
COCOA AND COCOA PREPARATIONS.,2011,36.52
COCOA AND COCOA PREPARATIONS.,2012,54.01
COCOA AND COCOA PREPARATIONS.,2013,93.9
COCOA AND COCOA PREPARATIONS.,2014,138.84
COCOA AND COCOA PREPARATIONS.,2015,193.3
COCOA AND COCOA PREPARATIONS.,2016,162.14
COCOA AND COCOA PREPARATIONS.,2017,177.46
COCOA AND COCOA PREPARATIONS.,2018,192.68
"COFFEE, TEA, MATE AND SPICES.",2010,2181.08
"COFFEE, TEA, MATE AND SPICES.",2011,3062.74
