commodity,year,sum(value)
GLASS AND GLASSWARE.,2018,949.11
HEADGEAR AND PARTS THEREOF.,2010,22.31
HEADGEAR AND PARTS THEREOF.,2011,28.34
HEADGEAR AND PARTS THEREOF.,2012,42.84
HEADGEAR AND PARTS THEREOF.,2013,42.2
HEADGEAR AND PARTS THEREOF.,2014,44.0
HEADGEAR AND PARTS THEREOF.,2015,38.08
HEADGEAR AND PARTS THEREOF.,2016,39.56
HEADGEAR AND PARTS THEREOF.,2017,41.07
HEADGEAR AND PARTS THEREOF.,2018,45.68
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2010,125.91
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2011,165.43
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2012,190.42
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2013,269.42
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2014,365.59
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2015,202.26
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2016,211.07
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2017,233.61
"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",2018,258.3
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2010,1846.75
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2011,1798.37
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2012,1318.42
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2013,1363.8
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2014,1429.65
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2015,1206.98
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2016,1363.18
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2017,1733.24
"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",2018,2011.31
IRON AND STEEL,2010,7138.92
IRON AND STEEL,2011,8301.67
IRON AND STEEL,2012,8089.22
IRON AND STEEL,2013,9223.09
IRON AND STEEL,2014,8684.04
IRON AND STEEL,2015,5492.2
IRON AND STEEL,2016,8682.82
IRON AND STEEL,2017,11244.33
IRON AND STEEL,2018,9741.67
KNITTED OR CROCHETED FABRICS.,2010,197.6
KNITTED OR CROCHETED FABRICS.,2011,221.21
KNITTED OR CROCHETED FABRICS.,2012,218.24
KNITTED OR CROCHETED FABRICS.,2013,242.07
KNITTED OR CROCHETED FABRICS.,2014,256.81
KNITTED OR CROCHETED FABRICS.,2015,241.8
KNITTED OR CROCHETED FABRICS.,2016,284.44
KNITTED OR CROCHETED FABRICS.,2017,342.9
KNITTED OR CROCHETED FABRICS.,2018,440.17
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2010,853.27
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2011,3679.64
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2012,4321.26
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2013,2414.8
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2014,1947.44
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2015,868.86
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2016,844.38
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2017,1018.92
"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",2018,1056.87
LEAD AND ARTICLES THEREOF.,2010,113.42
LEAD AND ARTICLES THEREOF.,2011,188.52
LEAD AND ARTICLES THEREOF.,2012,116.74
LEAD AND ARTICLES THEREOF.,2013,194.69
LEAD AND ARTICLES THEREOF.,2014,173.2
LEAD AND ARTICLES THEREOF.,2015,181.53
LEAD AND ARTICLES THEREOF.,2016,236.87
LEAD AND ARTICLES THEREOF.,2017,396.64
LEAD AND ARTICLES THEREOF.,2018,402.84
LIVE ANIMALS.,2010,12.24
LIVE ANIMALS.,2011,12.88
LIVE ANIMALS.,2012,10.56
LIVE ANIMALS.,2013,11.35
LIVE ANIMALS.,2014,12.71
LIVE ANIMALS.,2015,70.73
LIVE ANIMALS.,2016,78.73
LIVE ANIMALS.,2017,63.85
LIVE ANIMALS.,2018,42.94
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2010,64.82
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2011,76.49
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2012,77.8
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2013,75.31
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2014,75.37
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2015,73.8
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2016,81.56
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2017,78.73
LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,2018,81.7
MAN-MADE FILAMENTS.,2010,2300.48
MAN-MADE FILAMENTS.,2011,2614.25
MAN-MADE FILAMENTS.,2012,2226.84
MAN-MADE FILAMENTS.,2013,2570.09
MAN-MADE FILAMENTS.,2014,2392.05
MAN-MADE FILAMENTS.,2015,2059.11
MAN-MADE FILAMENTS.,2016,1988.16
MAN-MADE FILAMENTS.,2017,2169.6
MAN-MADE FILAMENTS.,2018,2291.48
MAN-MADE STAPLE FIBRES.,2010,1815.71
MAN-MADE STAPLE FIBRES.,2011,2209.84
MAN-MADE STAPLE FIBRES.,2012,1941.43
MAN-MADE STAPLE FIBRES.,2013,2083.31
MAN-MADE STAPLE FIBRES.,2014,2179.27
MAN-MADE STAPLE FIBRES.,2015,2081.19
MAN-MADE STAPLE FIBRES.,2016,2142.95
MAN-MADE STAPLE FIBRES.,2017,2049.2
MAN-MADE STAPLE FIBRES.,2018,1905.0
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2010,1.99
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2011,1.37
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2012,2.17
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2013,2.72
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2014,4.48
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2015,7.43
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2016,9.84
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2017,24.42
"MANUFACTURES OF STRAW, OF ESPARTO OR OF OTHER PLAITING MATERIALS; BASKETWARE AND WICKERWORK.",2018,39.97
MEAT AND EDIBLE MEAT OFFAL.,2010,1960.7
MEAT AND EDIBLE MEAT OFFAL.,2011,2913.59
MEAT AND EDIBLE MEAT OFFAL.,2012,3286.88
MEAT AND EDIBLE MEAT OFFAL.,2013,4475.53
MEAT AND EDIBLE MEAT OFFAL.,2014,4929.23
MEAT AND EDIBLE MEAT OFFAL.,2015,4209.97
MEAT AND EDIBLE MEAT OFFAL.,2016,4037.57
MEAT AND EDIBLE MEAT OFFAL.,2017,4174.58
MEAT AND EDIBLE MEAT OFFAL.,2018,3722.46
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2010,42735.86
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2011,57391.8
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2012,62105.38
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2013,64685.28
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2014,57619.94
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2015,31231.47
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2016,32435.54
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2017,38469.31
"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",2018,47920.23
MISCELLANEOUS ARTICLES OF BASE METAL.,2010,388.41
MISCELLANEOUS ARTICLES OF BASE METAL.,2011,440.89
MISCELLANEOUS ARTICLES OF BASE METAL.,2012,439.39
MISCELLANEOUS ARTICLES OF BASE METAL.,2013,470.81
MISCELLANEOUS ARTICLES OF BASE METAL.,2014,559.44
MISCELLANEOUS ARTICLES OF BASE METAL.,2015,503.73
MISCELLANEOUS ARTICLES OF BASE METAL.,2016,525.16
MISCELLANEOUS ARTICLES OF BASE METAL.,2017,583.69
MISCELLANEOUS ARTICLES OF BASE METAL.,2018,636.32
MISCELLANEOUS CHEMICAL PRODUCTS.,2010,2069.91
MISCELLANEOUS CHEMICAL PRODUCTS.,2011,2591.75
MISCELLANEOUS CHEMICAL PRODUCTS.,2012,2855.49
MISCELLANEOUS CHEMICAL PRODUCTS.,2013,3088.33
MISCELLANEOUS CHEMICAL PRODUCTS.,2014,3177.02
MISCELLANEOUS CHEMICAL PRODUCTS.,2015,3060.93
MISCELLANEOUS CHEMICAL PRODUCTS.,2016,3248.83
MISCELLANEOUS CHEMICAL PRODUCTS.,2017,3890.26
MISCELLANEOUS CHEMICAL PRODUCTS.,2018,4625.59
MISCELLANEOUS EDIBLE PREPARATIONS.,2010,341.95
MISCELLANEOUS EDIBLE PREPARATIONS.,2011,461.96
MISCELLANEOUS EDIBLE PREPARATIONS.,2012,508.93
MISCELLANEOUS EDIBLE PREPARATIONS.,2013,540.04
MISCELLANEOUS EDIBLE PREPARATIONS.,2014,587.41
MISCELLANEOUS EDIBLE PREPARATIONS.,2015,568.8
MISCELLANEOUS EDIBLE PREPARATIONS.,2016,628.1
MISCELLANEOUS EDIBLE PREPARATIONS.,2017,725.79
MISCELLANEOUS EDIBLE PREPARATIONS.,2018,770.09
MISCELLANEOUS GOODS.,2010,11823.75
MISCELLANEOUS GOODS.,2011,11818.97
MISCELLANEOUS GOODS.,2012,4438.18
MISCELLANEOUS GOODS.,2013,3688.16
MISCELLANEOUS GOODS.,2014,958.74
MISCELLANEOUS GOODS.,2015,499.31
MISCELLANEOUS GOODS.,2016,389.5
MISCELLANEOUS GOODS.,2017,52.82
MISCELLANEOUS GOODS.,2018,149.8
MISCELLANEOUS MANUFACTURED ARTICLES.,2010,332.89
MISCELLANEOUS MANUFACTURED ARTICLES.,2011,395.77
MISCELLANEOUS MANUFACTURED ARTICLES.,2012,449.14
MISCELLANEOUS MANUFACTURED ARTICLES.,2013,483.92
MISCELLANEOUS MANUFACTURED ARTICLES.,2014,529.72
MISCELLANEOUS MANUFACTURED ARTICLES.,2015,549.34
MISCELLANEOUS MANUFACTURED ARTICLES.,2016,554.57
MISCELLANEOUS MANUFACTURED ARTICLES.,2017,552.58
MISCELLANEOUS MANUFACTURED ARTICLES.,2018,618.01
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2010,15.15
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2011,18.44
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2012,18.34
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2013,15.21
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2014,16.2
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2015,14.91
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2016,14.18
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2017,17.87
MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,2018,19.82
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2010,43684.89
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2011,47277.76
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2012,43768.29
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2013,41692.1
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2014,41549.59
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2015,39553.82
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2016,43623.03
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2017,41743.33
"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",2018,40449.05
NICKEL AND ARTICLES THEREOF.,2010,32.88
NICKEL AND ARTICLES THEREOF.,2011,119.6
NICKEL AND ARTICLES THEREOF.,2012,419.83
NICKEL AND ARTICLES THEREOF.,2013,437.11
NICKEL AND ARTICLES THEREOF.,2014,896.02
NICKEL AND ARTICLES THEREOF.,2015,492.3
NICKEL AND ARTICLES THEREOF.,2016,90.92
NICKEL AND ARTICLES THEREOF.,2017,42.33
NICKEL AND ARTICLES THEREOF.,2018,66.49
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2010,9097.18
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2011,10844.77
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2012,11547.87
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2013,12075.39
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2014,13801.01
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2015,13516.72
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2016,14098.78
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2017,17865.65
"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",2018,20963.32
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2010,1243.79
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2011,2008.99
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2012,1727.95
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2013,1709.3
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2014,2213.78
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2015,1673.41
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2016,1808.92
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2017,1647.09
"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",2018,1640.32
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2010,1515.56
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2011,1915.72
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2012,2024.87
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2013,2128.84
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2014,2363.66
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2015,2395.04
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2016,2689.52
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2017,2994.79
"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",2018,3255.46
"ORES, SLAG AND ASH.",2010,5256.34
"ORES, SLAG AND ASH.",2011,5425.46
"ORES, SLAG AND ASH.",2012,2383.44
"ORES, SLAG AND ASH.",2013,2201.46
"ORES, SLAG AND ASH.",2014,982.02
"ORES, SLAG AND ASH.",2015,689.48
"ORES, SLAG AND ASH.",2016,1896.35
"ORES, SLAG AND ASH.",2017,1796.72
"ORES, SLAG AND ASH.",2018,1839.39
ORGANIC CHEMICALS,2010,9019.48
ORGANIC CHEMICALS,2011,11692.64
ORGANIC CHEMICALS,2012,12106.48
ORGANIC CHEMICALS,2013,12016.39
ORGANIC CHEMICALS,2014,11948.05
ORGANIC CHEMICALS,2015,11503.93
ORGANIC CHEMICALS,2016,11687.68
ORGANIC CHEMICALS,2017,14795.8
ORGANIC CHEMICALS,2018,18238.53
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2010,45.52
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2011,70.86
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2012,74.26
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2013,69.88
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2014,60.83
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2015,42.33
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2016,40.94
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2017,56.17
OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,2018,59.08
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2010,3101.08
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2011,3952.28
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2012,4038.75
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2013,4456.96
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2014,4645.25
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2015,4586.22
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2016,4704.98
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2017,5013.1
OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,2018,5257.12
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2010,393.37
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2011,377.81
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2012,321.82
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2013,336.78
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2014,373.73
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2015,385.28
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2016,400.3
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2017,451.97
OTHER VEGETABLE TEXTILE FIBRES; PAPER YARN AND WOVEN FABRICS OF PAPER YARN.,2018,445.79
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2010,836.59
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2011,907.16
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2012,969.62
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2013,1046.35
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2014,1151.13
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2015,1145.14
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2016,1171.47
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2017,1429.77
"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",2018,1989.98
PHARMACEUTICAL PRODUCTS,2010,6675.91
PHARMACEUTICAL PRODUCTS,2011,8482.96
PHARMACEUTICAL PRODUCTS,2012,10062.18
PHARMACEUTICAL PRODUCTS,2013,11139.94
PHARMACEUTICAL PRODUCTS,2014,11584.03
PHARMACEUTICAL PRODUCTS,2015,12909.47
PHARMACEUTICAL PRODUCTS,2016,12929.92
PHARMACEUTICAL PRODUCTS,2017,13254.89
PHARMACEUTICAL PRODUCTS,2018,14753.39
PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,2010,29.46
PHOTOGRAPHIC OR CINEMATOGRAPHIC GOODS.,2011,35.66
